UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;ANO;municipio_chave;total_furtos;total_gasto_saude;taxa_furtos_100k;gasto_saude_per_capita;Nota_Saude;Nota_Seguranca;Nota_IQV_ES;Cluster_ML;Perfil_Municipio;total_roubos;total_homicidios;total_violencia;taxa_roubos_100k;taxa_homicidios_100k;taxa_violencia_100k;total_despesas;total_receitas;despesas_per_capita;receitas_per_capita;Cluster;IQV_ES_Score
ES;32;1506;Colatina;129.301;2025;colatina;322;291246400.28;249031.32999744787;2252468.273872592;47.855537447966235;68.4389644361453;58.14725094205576;1;Perfil B (Alerta/Ponto de Atenção);43.0;16.0;995;33255.73661456602;12374.227577512936;769522.2774765857;781885106.21;928272501.1;6047015.1523190085;7179159.48909908;1;84.31037471817281
ES;32;1605;Conceição da Barra;28.923;2025;conceicao da barra;54;31267500.1;186702.62420910696;1081060.0594682433;22.968008366411926;76.9259430443157;49.94697570536381;0;Perfil A (Padrão/Baixo Orçamento);22.0;5.0;162;76064.03208519172;17287.280019361755;560107.8726273209;189140533.68;240403209.5;6539450.737475366;8311835.200359576;1;87.33603683674899
ES;32;1704;Conceição do Castelo;12.472;2025;conceicao do castelo;14;0.0;112251.44323284157;0.0;0.0;87.06357661630595;43.531788308152976;0;Perfil A (Padrão/Baixo Orçamento);4.0;4.0;81;32071.84092366902;32071.84092366902;649454.7787042976;76162976.41;86195780.87;6106717.15923669;6911143.430885184;1;88.87237246476073
ES;32;1803;Divino de São Lourenço;5.397;2025;divino de sao lourenco;2;10141858.97;37057.62460626273;1879166.0125995923;39.92442447692911;97.30233132938383;68.61337790315648;2;Perfil C (Diferenciado/Alta Complexidade);1.0;1.0;21;18528.812303131366;18528.812303131366;389105.05836575874;45795172.63;45587715.42;8485301.58050769;8446862.223457476;0;89.2660527379702
ES;32;1902;Domingos Martins;38.236;2025;domingos martins;35;46691079.57;91536.77162883147;1221128.767915054;25.943883054689007;89.88418667959712;57.914034867143066;2;Perfil C (Diferenciado/Alta Complexidade);3.0;1.0;84;7846.008996756984;2615.336332252328;219688.25190919553;230641939.4;283028954.9;6032062.438539597;7402159.0882937545;0;94.97697613459793
ES;32;2009;Dores do Rio Preto;6.902;2025;dores do rio preto;4;11601216.97;57954.21616922631;1680848.5902636917;35.71100804782089;94.4569501629467;65.08397910538379;2;Perfil C (Diferenciado/Alta Complexidade);0.0;0.0;31;0.0;0.0;449145.17531150393;61429713.91;71282720.58;8900277.297884671;10327835.494059693;0;83.36882449485537
ES;32;2108;Ecoporanga;22.611;2025;ecoporanga;11;31713737.05;48648.887709521914;1402580.0296315951;29.79896405661917;95.72400877712192;62.76148641687055;2;Perfil C (Diferenciado/Alta Complexidade);4.0;4.0;89;17690.504621644333;17690.504621644333;393613.7278315864;114943523.3;142580312.67;5083522.325416832;6305794.200610322;0;95.1460595015585
ES;32;2207;Fundão;18.898;2025;fundao;57;29352663.8;301619.21896496986;1553215.356122341;32.999335218993316;61.278342647658135;47.13883893332573;2;Perfil C (Diferenciado/Alta Complexidade);22.0;4.0;100;116414.43538998837;21166.26097999788;529156.5244999471;130394886.98;174162680.95;6899930.52069002;9215931.894909514;1;86.27786756675678
ES;32;2256;Governador Lindenberg;11.484;2025;governador lindenberg;8;23053925.29;69662.13862765586;2007482.1743295018;42.65060666296612;92.86274270758516;67.75667468527564;2;Perfil C (Diferenciado/Alta Complexidade);6.0;6.0;25;52246.603970741904;52246.603970741904;217694.18321142456;91505192.76;101730302.46;7968059.278996865;8858438.040752351;0;94.49215968389875
ES;32;2306;Guaçuí;31.418;2025;guacui;82;30492571.74;260996.88076898592;970544.6476542109;20.620017724327976;66.80967706127385;43.71484739280091;0;Perfil A (Padrão/Baixo Orçamento);13.0;2.0;165;41377.554268253865;6365.777579731364;525176.6503278376;166393231.34;187463050.98;5296111.507416131;5966740.434782608;1;91.44863787690491
ES;32;2405;Guarapari;136.311;2025;guarapari;408;95035688.99;299315.53579681757;697197.5041632736;14.812533280103093;61.59202331085856;38.20227829548082;0;Perfil A (Padrão/Baixo Orçamento);202.0;20.0;678;148190.53487979693;14672.330186118506;497391.9933094174;647944467.29;720281118.17;4753427.583173771;5284101.196308441;1;94.92546900650017
ES;32;2454;Ibatiba;27.543;2025;ibatiba;47;38561639.77;170642.26845296446;1400052.273535926;29.74525980342334;79.11279890820698;54.42902935581516;2;Perfil C (Diferenciado/Alta Complexidade);7.0;1.0;157;25414.80593980322;3630.686562829031;570017.7903641579;136191021.1;152796313.24;4944669.10285735;5547555.213302836;1;91.6328784477085
ES;32;2504;Ibiraçu;12.304;2025;ibiracu;26;17841507.39;211313.39401820544;1450057.4926853057;30.807661731723382;73.57482136998286;52.19124155085312;2;Perfil C (Diferenciado/Alta Complexidade);2.0;3.0;82;16254.87646293888;24382.314694408324;666449.9349804942;87435379.05;103442348.22;7106256.424739921;8407212.956762029;1;84.24800454329286
ES;32;2553;Ibitirama;10.015;2025;ibitirama;10;15300380.99;99850.22466300549;1527746.4792810783;32.458228024023065;88.75218662972183;60.605207326872446;2;Perfil C (Diferenciado/Alta Complexidade);3.0;1.0;32;29955.067398901647;9985.022466300548;319520.71892161755;74247660.49;83846431.24;7413645.580629055;8372084.996505241;0;90.93963445635187
ES;32;2603;Iconha;12.79;2025;iconha;10;22367058.36;78186.08287724786;1748792.6786551995;37.154535978537325;91.70208115383512;64.42830856618622;2;Perfil C (Diferenciado/Alta Complexidade);1.0;0.0;48;7818.608287724786;0.0;375293.1978107897;113191636.33;122239556.57000001;8850010.65910868;9557432.100860048;0;86.11873185059291
ES;32;2652;Irupi;14.647;2025;irupi;10;20748701.11;68273.36655970506;1416583.6765207893;30.096483029866132;93.0518446419707;61.57416383591842;2;Perfil C (Diferenciado/Alta Complexidade);3.0;3.0;80;20482.00996791152;20482.00996791152;546186.9324776405;90834395.26;94239951.26;6201569.963815116;6434078.736942719;0;91.10273303899878
ES;32;2702;Itaguaçu;14.042;2025;itaguacu;4;19178672.98;28485.97065945022;1365807.789488677;29.017707629784113;98.46948926669569;63.7435984482399;2;Perfil C (Diferenciado/Alta Complexidade);1.0;2.0;67;7121.492664862555;14242.98532972511;477140.00854579115;84911931.56;98821557.59;6046996.977638513;7037569.975074776;0;91.34289149656409
ES;32;2801;Itapemirim;44.02;2025;itapemirim;138;108404199.78;313493.8664243526;2462612.443889141;52.32022283969823;59.6614331082626;55.990827973980416;1;Perfil B (Alerta/Ponto de Atenção);19.0;10.0;299;43162.19900045434;22716.946842344387;679236.7105860972;523538305.77;594608151.62;11893191.862108132;13507681.77237619;1;71.72536694975317
ES;32;2900;Itarana;10.975;2025;itarana;4;21140876.4;36446.46924829157;1926275.7539863326;40.92530960336916;97.38554920441855;69.15542940389386;2;Perfil C (Diferenciado/Alta Complexidade);0.0;1.0;41;0.0;9111.617312072893;373576.30979498866;74816348.24;77369146.46;6816979.338496583;7049580.543052391;0;92.41072575489189
ES;32;3007;Iúna;30.556;2025;iuna;69;34045014.86;225814.89723785836;1114184.2800104725;23.671759622303313;71.60022642123725;47.63599302177028;0;Perfil A (Padrão/Baixo Orçamento);5.0;2.0;162;16363.398350569447;6545.359340227778;530174.10655845;143624276.84;151284398.77;4700362.509490771;4951053.762599817;1;93.37460609658922
ES;32;3056;Jaguaré;31.551;2025;jaguare;17;51142770.66;53881.01803429368;1620955.6166207092;34.43853265880507;95.0115765586143;64.72505460870968;2;Perfil C (Diferenciado/Alta Complexidade);11.0;9.0;155;34864.1881398371;28525.244841684893;491268.1056067954;238581673.14;248394278.63;7561778.490063706;7872786.2391049415;0;89.49689321370762
ES;32;3106;Jerônimo Monteiro;12.108;2025;jeronimo monteiro;21;39354781.33;173439.0485629336;3250312.300132144;69.05555287983483;78.73197577599453;73.89376432791468;1;Perfil B (Alerta/Ponto de Atenção);4.0;0.0;96;33036.009250082585;0.0;792864.2220019822;108516667.96;108243952.28;8962394.11628675;8939870.521968946;1;78.44220935196213
